areaCode,areaName,areaType,date,cumVaccinesGivenByPublishDate
E06000003,Redcar and Cleveland,utla,2021-10-06,197173
E06000014,York,utla,2021-10-06,295825
E06000050,Cheshire West and Chester,utla,2021-10-06,520607
E08000001,Bolton,utla,2021-10-06,384409
E08000016,Barnsley,utla,2021-10-06,344562
E08000031,Wolverhampton,utla,2021-10-06,330487
E08000032,Bradford,utla,2021-10-06,657200
E09000018,Hounslow,utla,2021-10-06,374042
E09000032,Wandsworth,utla,2021-10-06,459811
E09000033,Westminster,utla,2021-10-06,291543
E10000034,Worcestershire,utla,2021-10-06,884961
S12000013,Na h-Eileanan Siar,utla,2021-10-06,41458
S12000029,South Lanarkshire,utla,2021-10-06,496698
S12000045,East Dunbartonshire,utla,2021-10-06,173170
E06000023,"Bristol, City of",utla,2021-10-06,643044
E08000007,Stockport,utla,2021-10-06,422949
E08000009,Trafford,utla,2021-10-06,329726
E08000023,South Tyneside,utla,2021-10-06,211229
E08000037,Gateshead,utla,2021-10-06,281548
E09000003,Barnet,utla,2021-10-06,497730
E09000024,Merton,utla,2021-10-06,286048
E10000015,Hertfordshire,utla,2021-10-06,1675753
E10000024,Nottinghamshire,utla,2021-10-06,1196992
S12000028,South Ayrshire,utla,2021-10-06,176606
S12000039,West Dunbartonshire,utla,2021-10-06,129949
S12000050,North Lanarkshire,utla,2021-10-06,501079
E06000015,Derby,utla,2021-10-06,345310
E06000038,Reading,utla,2021-10-06,227209
E08000002,Bury,utla,2021-10-06,258770
E08000015,Wirral,utla,2021-10-06,455725
E08000021,Newcastle upon Tyne,utla,2021-10-06,395141
E09000014,Haringey,utla,2021-10-06,327088
E09000027,Richmond upon Thames,utla,2021-10-06,281317
E10000019,Lincolnshire,utla,2021-10-06,1125582
E10000028,Staffordshire,utla,2021-10-06,1287843
S12000006,Dumfries and Galloway,utla,2021-10-06,235277
S12000020,Moray,utla,2021-10-06,143895
S12000026,Scottish Borders,utla,2021-10-06,182064
E06000004,Stockton-on-Tees,utla,2021-10-06,273748
E06000021,Stoke-on-Trent,utla,2021-10-06,342150
E06000030,Swindon,utla,2021-10-06,324051
E08000011,Knowsley,utla,2021-10-06,197851
E09000012,Hackney and City of London,utla,2021-10-06,334672
E09000019,Islington,utla,2021-10-06,293038
E09000020,Kensington and Chelsea,utla,2021-10-06,198090
E09000026,Redbridge,utla,2021-10-06,376667
E10000013,Gloucestershire,utla,2021-10-06,960007
E10000023,North Yorkshire,utla,2021-10-06,953392
S12000021,North Ayrshire,utla,2021-10-06,206207
S12000034,Aberdeenshire,utla,2021-10-06,393912
E06000005,Darlington,utla,2021-10-06,153959
E06000016,Leicester,utla,2021-10-06,446162
E06000024,North Somerset,utla,2021-10-06,326676
E06000027,Torbay,utla,2021-10-06,203465
E06000051,Shropshire,utla,2021-10-06,486781
E06000058,"Bournemouth, Christchurch and Poole",utla,2021-10-06,570011
E08000017,Doncaster,utla,2021-10-06,427726
E09000016,Havering,utla,2021-10-06,337322
E10000014,Hampshire,utla,2021-10-06,2097817
E10000020,Norfolk,utla,2021-10-06,1370504
E10000029,Suffolk,utla,2021-10-06,1115634
S12000008,East Ayrshire,utla,2021-10-06,183332
S12000018,Inverclyde,utla,2021-10-06,117290
S12000035,Argyll and Bute,utla,2021-10-06,138005
S12000038,Renfrewshire,utla,2021-10-06,265324
E06000012,North East Lincolnshire,utla,2021-10-06,217499
E06000033,Southend-on-Sea,utla,2021-10-06,244666
E06000045,Southampton,utla,2021-10-06,324764
E06000054,Wiltshire,utla,2021-10-06,767654
E08000003,Manchester,utla,2021-10-06,660835
