,Year,Unemployment Rate ,Year_right, Number of People Homeless for at least 1 Night,xfit,yfit
0,2010,7.8,2010,1768,3.9,4365.516633031704
1,2011,8.1,2011,2181,4.32,4125.413124145563
2,2012,7.9,2012,2309,4.74,3885.3096152594235
3,2013,7.6,2013,2414,5.16,3645.206106373283
4,2014,6.2,2014,2744,5.58,3405.102597487143
5,2015,5.3,2015,3569,6.0,3164.9990886010028
6,2016,4.8,2016,4134,6.42,2924.8955797148624
7,2017,4.4,2017,4751,6.84,2684.7920708287224
8,2018,4.1,2018,4677,7.26,2444.688561942582
9,2019,3.9,2019,4266,7.68,2204.585053056442
10,2020,4.7,2020,2688,8.1,1964.4815441703022
